연도,양파,돼지고기,밀가루,자장면,양파가격,돼지고기가격,밀가루가격,자장면가격,,3734,2032,1356,5196
1975,6.079,8.361,9.754,2.894,73746.5,169.89552,132.26424,150.37224,,,,,
1976,7.141,10.893,10.368,3.193,73783.84,221.34576,140.59008,165.90828,,,,,
1977,5.421,11.235,10.145,4.078,73821.18,228.2952,137.5662,211.89288,,,,,
1978,11.372,15.103,9.961,4.277,73858.52,306.89296,135.07116,222.23292,,,,,
1979,11.324,14.592,10.503,5.823,73895.86,296.50944,142.42068,302.56308,,,,,
1980,14.732,17.116,15.644,7.294,73933.2,347.79712,212.13264,378.99624,,,,,
1981,23.63,28.714,20.18,9.857,73970.54,583.46848,273.6408,512.16972,,,,,
1982,20.018,28.845,19.69,11.051,74007.88,586.1304,266.9964,574.20996,,,,,
1983,12.255,26.567,18.396,11.015,74045.22,539.84144,249.44976,572.3394,,,,,
1984,26.015,22.681,18.197,11.907,74082.56,460.87792,246.75132,618.68772,,,,,
1985,24.533,28.103,19.091,12.877,74119.9,571.05296,258.87396,669.08892,,,,,
1986,19.11,30.76,20.347,13.482,74157.24,625.0432,275.90532,700.52472,,,,,
1987,16.793,25.575,19.548,14.123,74194.58,519.684,265.07088,733.83108,,,,,
1988,18.005,25.05,19.147,15.878,74231.92,509.016,259.63332,825.02088,,,,,
1989,19.383,23.824,20.808,18.781,74269.26,484.10368,282.15648,975.86076,,,,,
1990,30.171,33.699,22.869,22.723,74306.6,684.76368,310.10364,1180.68708,,,,,
1991,40.579,40.306,23.353,27.511,74343.94,819.01792,316.66668,1429.47156,,,,,
1992,20.209,33.981,25.213,30.727,74381.28,690.49392,341.88828,1596.57492,,,,,
1993,23.275,33.041,26.205,33.227,74418.62,671.39312,355.3398,1726.47492,,,,,
1994,51.553,34.239,26.259,36.644,74455.96,695.73648,356.07204,1904.02224,,,,,
1995,30.607,33.453,27.002,39.06,74493.3,679.76496,366.14712,2029.5576,,,,,
1996,37.689,31.61,32.72,42.461,74530.64,642.3152,443.6832,2206.27356,,,,,
1997,41.112,35.015,35.23,44.954,74567.98,711.5048,477.7188,2335.80984,,,,,
1998,41.313,36.607,52.874,51.272,74605.32,743.85424,716.97144,2664.09312,,,,,
1999,43.584,37.931,43.771,49.459,74642.66,770.75792,593.53476,2569.88964,,,,,
2000,45.107,39.348,41.324,50.162,74680,799.55136,560.35344,2606.41752,,,,,
2001,40.487,42.695,43.975,50.789,74717.34,867.5624,596.301,2638.99644,,,,,
2002,39.07,46.325,46.08,53.786,74754.68,941.324,624.8448,2794.72056,,,,,
2003,71.957,47.554,52.109,59.413,74792.02,966.29728,706.59804,3087.09948,,,,,
2004,58.752,59.863,57.473,60.809,74829.36,1216.41616,779.33388,3159.63564,,,,,
2005,55.173,63.445,60.638,61.066,74866.7,1289.2024,822.25128,3172.98936,,,,,
2006,65.321,64.296,62.316,61.87,74904.04,1306.49472,845.00496,3214.7652,,,,,
2007,59.592,61.388,67.962,64.18,74941.38,1247.40416,921.56472,3334.7928,,,,,
2008,62.502,71.93,108.732,72.575,74978.72,1461.6176,1474.40592,3770.997,,,,,
2009,72.765,78.121,99.357,73.847,75016.06,1587.41872,1347.28092,3837.09012,,,,,
2010,74.951,73.382,84.945,74.768,75053.4,1491.12224,1151.8542,3884.94528,,,,,
2011,71.141,93.981,89.419,79.995,75090.74,1909.69392,1212.52164,4156.5402,,,,,
2012,76.058,81.23,90.112,80.943,75128.08,1650.5936,1221.91872,4205.79828,,,,,
2013,110.109,75.94,98.983,82.353,75165.42,1543.1008,1342.20948,4279.06188,,,,,
2014,64.962,88.027,101.473,83.397,75202.76,1788.70864,1375.97388,4333.30812,,,,,
2015,87.01,91.251,100.573,85.703,75240.1,1854.22032,1363.76988,4453.12788,,,,,
2016,93.144,91.841,99.484,88.108,75277.44,1866.20912,1349.00304,4578.09168,,,,,
2017,100.359,97.522,98.352,90.933,75314.78,1981.64704,1333.65312,4724.87868,,,,,
2018,80.856,93.981,99.398,94.982,75352.12,1909.69392,1347.83688,4935.26472,,,,,
2019,68.748,90.311,101.074,98.589,75389.46,1835.11952,1370.56344,5122.68444,,,,,
2020,100,100,100,100,75426.8,2032,1356,5196,,,,,
2021,103.56,111.11,100.67,103.07,75464.14,2257.7552,1365.0852,5355.5172,,,,,
2022,94.42,120.09,128.83,114.2,75501.48,2440.2288,1746.9348,5933.832,,,,,
2023,109.06,118.33,138.05,122.42,75538.82,2404.4656,1871.958,6360.9432,,,,,
2024,103.31,120.57,135.9,126.38,75576.16,2449.9824,1842.804,6566.7048,,,,,
